destination,vol,people,long,lat,longdest,latdest,longoff,latoff,year,rank
India,1,17869492,77.2,28.6,77.2,28.6,0,0,2020,0
United Arab Emirates,0.19425846,3471300,77.2,28.6,54.3,24.4,-30,8,2020,1
USA,0.152425374,2723764,77.2,28.6,-77,38.9,0,0,2020,2
Saudi Arabia,0.140034031,2502337,77.2,28.6,46.6,24.7,-40,0,2020,3
Pakistan,0.089377695,1597134,77.2,28.6,73.1,33.4,0,0,2020,4
Oman,0.076984113,1375667,77.2,28.6,58.36,23.37,0,0,2020,5
Kuwait,0.064477211,1152175,77.2,28.6,48,29.3,0,0,2020,6
United Kingdom,0.046747775,835359,77.2,28.6,-0.1,51.4,-40,0,2020,7
Canada,0.040296781,720083,77.2,28.6,-75.6,45.4,0,10,2020,8
Qatar,0.03928556,702013,77.2,28.6,51.35,25.15,0,0,2020,9
Australia,0.032416366,579264,77.2,28.6,149.1,-35.3,0,0,2020,10
Nepal,0.023892173,426941,77.2,28.6,85.2,27.45,0,0,2020,11
Bahrain,0.020431359,365098,77.2,28.6,50.3,26.1,0,-20,2020,12
Italy,0.009360759,167272,77.2,28.6,12.3,41.5,0,0,2020,13
Malaysia,0.008287645,148096,77.2,28.6,101.4,3.1,0,0,2020,14
Singapore,0.00811271,144970,77.2,28.6,103.8,1.3,0,0,2020,15
NewZealand,0.006855595,122506,77.2,28.6,174.5,-41.2,0,0,2020,16
Germany,0.006023003,107628,77.2,28.6,13.3,52.3,0,0,2020,17
Mexico,1,11185737,-99.1,19.24,-99.1,19.24,0,0,2020,0
USA,0.970262845,10853105,-99.1,19.24,-77,38.9,0,0,2020,1
Russia,1,10756697,37.6,55.7,37.6,55.7,0,0,2020,0
Ukraine,0.309629062,3330586,37.6,55.7,30.5,50.4,0,0,2020,1
Kazakhstan,0.230183857,2476018,37.6,55.7,71.4,51.1,0,0,2020,2
Germany,0.111449732,1198831,37.6,55.7,13.3,52.3,0,0,2020,3
Uzbekistan,0.080977181,871047,37.6,55.7,69.2,41.2,0,0,2020,4
Belarus,0.062517425,672481,37.6,55.7,27.5,53.9,0,0,2020,5
USA,0.036912911,397061,37.6,55.7,-77,38.9,0,0,2020,6
Tajikistan,0.021846669,234998,37.6,55.7,68.48,38.33,0,0,2020,7
Estonia,0.011071893,119097,37.6,55.7,24.48,59.22,0,0,2020,8
Latvia,0.010855656,116771,37.6,55.7,24.08,56.53,0,0,2020,9
Israel,0.01034853,111316,37.6,55.7,35.12,31.47,-28,0,2020,10
Kyrgyzstan,0.010119649,108854,37.6,55.7,74.46,42.54,0,0,2020,11
China,1,10461170,116.4,39.9,116.4,39.9,-20,0,2020,0
